First 2 of SOC,SOC,Occupation,Generation, 2007 Jobs , 2013 Jobs , Job Change ,PRC Job Change ,2007 Share of All Jobs,2013 Share of All Jobs,Change in Share
51,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Baby Boomer,3749,3897,148,0.04,0.14,0.17,0.03
29,29-2092,Hearing Aid Specialists,Baby Boomer,462,607,145,0.31,0.09,0.11,0.02
19,19-3051,Urban and Regional Planners,Baby Boomer,5664,5807,143,0.03,0.15,0.15,0
45,45-2099,"Agricultural Workers, All Other",Baby Boomer,1121,1259,138,0.12,0.07,0.08,0.01
51,51-9197,Tire Builders,Baby Boomer,1614,1752,138,0.09,0.08,0.1,0.02
27,27-1021,Commercial and Industrial Designers,Baby Boomer,5669,5807,138,0.02,0.12,0.14,0.02
51,51-2021,"Coil Winders, Tapers, and Finishers",Baby Boomer,3063,3197,134,0.04,0.18,0.22,0.04
39,39-1011,Gaming Supervisors,Baby Boomer,5029,5159,130,0.03,0.17,0.18,0.01
47,47-5049,"Mining Machine Operators, All Other",Baby Boomer,271,399,128,0.47,0.1,0.14,0.04
43,43-4021,Correspondence Clerks,Baby Boomer,1576,1703,127,0.08,0.14,0.16,0.02
53,53-7033,"Loading Machine Operators, Underground Mining",Baby Boomer,374,499,125,0.33,0.13,0.17,0.04
47,47-2151,Pipelayers,Baby Boomer,7831,7956,125,0.02,0.12,0.13,0.01
47,47-3016,Helpers--Roofers,Baby Boomer,886,1007,121,0.14,0.06,0.08,0.03
19,19-3094,Political Scientists,Baby Boomer,800,920,120,0.15,0.13,0.13,0
39,39-5091,"Makeup Artists, Theatrical and Performance",Baby Boomer,304,423,119,0.39,0.07,0.08,0.01
19,19-1099,"Life Scientists, All Other",Baby Boomer,1007,1123,116,0.12,0.11,0.12,0.01
53,53-7111,Mine Shuttle Car Operators,Baby Boomer,477,592,115,0.24,0.17,0.19,0.02
