First 2 of SOC,SOC,Occupation,Generation, 2007 Jobs , 2013 Jobs , Job Change ,PRC Job Change ,2007 Share of All Jobs,2013 Share of All Jobs,Change in Share
25,25-3099,"Teachers and Instructors, All Other",Millennial,83754,92343,8589,0.1,0.25,0.26,0.01
35,35-2012,"Cooks, Institution and Cafeteria",Millennial,99346,107735,8389,0.08,0.24,0.25,0.01
15,15-1133,"Software Developers, Systems Software",Millennial,128688,136722,8034,0.06,0.34,0.33,-0.01
35,35-2015,"Cooks, Short Order",Millennial,54634,62529,7895,0.14,0.33,0.36,0.03
39,39-3091,Amusement and Recreation Attendants,Millennial,56417,63833,7416,0.13,0.21,0.23,0.02
29,29-2034,Radiologic Technologists ,Millennial,53666,60823,7157,0.13,0.3,0.3,0
29,29-2056,Veterinary Technologists and Technicians,Millennial,34701,41695,6994,0.2,0.47,0.48,0.01
31,31-9011,Massage Therapists,Millennial,43270,49883,6613,0.15,0.34,0.36,0.02
43,43-4111,"Interviewers, Except Eligibility and Loan",Millennial,67365,73817,6452,0.1,0.32,0.33,0.01
29,29-1051,Pharmacists,Millennial,78509,84803,6294,0.08,0.28,0.29,0.01
39,39-9011,Childcare Workers,Millennial,401560,407715,6155,0.02,0.28,0.3,0.02
25,25-9041,Teacher Assistants,Millennial,282378,288522,6144,0.02,0.22,0.23,0.01
41,41-1011,First-Line Supervisors of Retail Sales Workers,Millennial,469529,475614,6085,0.01,0.3,0.32,0.02
15,15-1134,Web Developers,Millennial,51196,57280,6084,0.12,0.43,0.42,-0.01
21,21-1022,Healthcare Social Workers,Millennial,38298,44126,5828,0.15,0.28,0.29,0.01
29,29-1122,Occupational Therapists,Millennial,33809,39614,5805,0.17,0.34,0.35,0.01
13,13-1121,"Meeting, Convention, and Event Planners",Millennial,26845,32633,5788,0.22,0.38,0.38,0
49,49-3093,Tire Repairers and Changers,Millennial,38169,43823,5654,0.15,0.39,0.43,0.04
21,21-1014,Mental Health Counselors,Millennial,36257,41908,5651,0.16,0.32,0.32,0
31,31-2021,Physical Therapist Assistants,Millennial,22455,28075,5620,0.25,0.37,0.39,0.02
13,13-1111,Management Analysts,Millennial,162645,168051,5406,0.03,0.24,0.23,-0.01
29,29-2021,Dental Hygienists,Millennial,49018,53832,4814,0.1,0.27,0.28,0.01
27,27-3091,Interpreters and Translators,Millennial,15093,19852,4759,0.32,0.27,0.28,0.01
43,43-4081,"Hotel, Motel, and Resort Desk Clerks",Millennial,101070,105801,4731,0.05,0.43,0.46,0.03
29,29-1069,"Physicians and Surgeons, All Other",Millennial,62239,66928,4689,0.08,0.19,0.19,0
47,47-5011,"Derrick Operators, Oil and Gas",Millennial,7812,12457,4645,0.59,0.5,0.53,0.04
11,nov-11,Medical and Health Services Managers,Millennial,50304,54945,4641,0.09,0.17,0.18,0.01
15,15-1142,Network and Computer Systems Administrators,Millennial,117067,121621,4554,0.04,0.33,0.33,0
39,39-5092,Manicurists and Pedicurists,Millennial,32713,37195,4482,0.14,0.35,0.36,0.01
51,51-3011,Bakers,Millennial,41319,45686,4367,0.11,0.25,0.27,0.02
47,47-5012,"Rotary Drill Operators, Oil and Gas",Millennial,9419,13630,4211,0.45,0.49,0.52,0.03
19,19-1042,"Medical Scientists, Except Epidemiologists",Millennial,24733,28939,4206,0.17,0.29,0.29,0
39,39-9041,Residential Advisors,Millennial,32467,36612,4145,0.13,0.34,0.34,0
29,29-2071,Medical Records and Health Information Technicians,Millennial,45351,49483,4132,0.09,0.26,0.26,0
29,29-1127,Speech-Language Pathologists,Millennial,36676,40696,4020,0.11,0.3,0.31,0.01
31,31-2022,Physical Therapist Aides,Millennial,16308,20317,4009,0.25,0.38,0.4,0.02
13,13-1151,Training and Development Specialists,Millennial,61475,65481,4006,0.07,0.29,0.29,0
53,53-6021,Parking Lot Attendants,Millennial,42899,46795,3896,0.09,0.33,0.35,0.02
21,21-1023,Mental Health and Substance Abuse Social Workers,Millennial,33107,36937,3830,0.12,0.3,0.31,0.01
13,13-1071,Human Resources Specialists,Millennial,128036,131822,3786,0.03,0.31,0.31,0
39,39-1021,First-Line Supervisors of Personal Service Workers,Millennial,57122,60826,3704,0.06,0.3,0.31,0.01
29,29-1071,Physician Assistants,Millennial,27315,30991,3676,0.13,0.34,0.35,0.01
25,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",Millennial,133179,136826,3647,0.03,0.22,0.22,0
51,51-3021,Butchers and Meat Cutters,Millennial,35428,39051,3623,0.1,0.26,0.28,0.02
29,29-2099,"Health Technologists and Technicians, All Other",Millennial,23890,27496,3606,0.15,0.29,0.3,0.01
29,29-2055,Surgical Technologists,Millennial,34670,38186,3516,0.1,0.37,0.39,0.02
11,nov-99,"Managers, All Other",Millennial,103024,106515,3491,0.03,0.16,0.16,0
21,21-1012,"Educational, Guidance, School, and Vocational Counselors",Millennial,58961,62369,3408,0.06,0.25,0.26,0.01
29,29-2032,Diagnostic Medical Sonographers,Millennial,14814,18210,3396,0.23,0.3,0.3,0
21,21-1015,Rehabilitation Counselors,Millennial,31582,34867,3285,0.1,0.29,0.3,0.01
29,29-1126,Respiratory Therapists,Millennial,28876,32131,3255,0.11,0.27,0.27,0
31,31-9097,Phlebotomists,Millennial,34936,38187,3251,0.09,0.36,0.37,0.01
13,13-1081,Logisticians,Millennial,31701,34911,3210,0.1,0.28,0.27,-0.01
39,39-9099,"Personal Care and Service Workers, All Other",Millennial,28640,31814,3174,0.11,0.29,0.3,0.01
29,29-2081,"Opticians, Dispensing",Millennial,16557,19658,3101,0.19,0.28,0.29,0.01
17,17-2171,Petroleum Engineers,Millennial,7716,10810,3094,0.4,0.24,0.26,0.02
29,29-1171,Nurse Practitioners,Millennial,19338,22352,3014,0.16,0.2,0.2,0
49,49-9051,Electrical Power-Line Installers and Repairers,Millennial,33068,36051,2983,0.09,0.29,0.31,0.02
41,41-9041,Telemarketers,Millennial,107579,110543,2964,0.03,0.39,0.41,0.02
53,53-6031,Automotive and Watercraft Service Attendants,Millennial,35509,38444,2935,0.08,0.32,0.34,0.02
21,21-1011,Substance Abuse and Behavioral Disorder Counselors,Millennial,25539,28468,2929,0.11,0.31,0.32,0.01
47,47-5081,Helpers--Extraction Workers,Millennial,8674,11570,2896,0.33,0.4,0.41,0.01
43,43-9199,"Office and Administrative Support Workers, All Other",Millennial,85326,88138,2812,0.03,0.28,0.28,0
53,53-3031,Driver/Sales Workers,Millennial,107302,110062,2760,0.03,0.25,0.27,0.02
39,39-5094,Skincare Specialists,Millennial,16462,19178,2716,0.16,0.37,0.39,0.02
39,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",Millennial,21667,24379,2712,0.13,0.19,0.2,0.01
13,13-1041,Compliance Officers,Millennial,49275,51962,2687,0.05,0.22,0.22,0
29,29-2012,Medical and Clinical Laboratory Technicians,Millennial,45939,48571,2632,0.06,0.3,0.3,0
21,21-1091,Health Educators ,Millennial,15027,17550,2523,0.17,0.29,0.3,0.01
33,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Millennial,21085,23586,2501,0.12,0.16,0.17,0.01
31,31-2011,Occupational Therapy Assistants,Millennial,9244,11647,2403,0.26,0.36,0.38,0.02
27,27-3031,Public Relations Specialists,Millennial,77513,79882,2369,0.03,0.36,0.36,0
31,31-9099,"Healthcare Support Workers, All Other",Millennial,31331,33551,2220,0.07,0.3,0.31,0.01
43,43-3021,Billing and Posting Clerks,Millennial,146140,148286,2146,0.01,0.29,0.29,0
29,29-2031,Cardiovascular Technologists and Technicians,Millennial,13858,16004,2146,0.15,0.3,0.31,0.01
39,39-5011,Barbers,Millennial,24741,26773,2032,0.08,0.38,0.4,0.02
53,53-3041,Taxi Drivers and Chauffeurs,Millennial,32926,34950,2024,0.06,0.14,0.14,0
29,29-2011,Medical and Clinical Laboratory Technologists,Millennial,45599,47620,2021,0.04,0.29,0.29,0
25,25-2052,"Special Education Teachers, Kindergarten and Elementary School",Millennial,41353,43278,1925,0.05,0.22,0.22,0
33,33-9093,Transportation Security Screeners,Millennial,10633,12527,1894,0.18,0.24,0.24,0
25,25-9031,Instructional Coordinators,Millennial,28465,30313,1848,0.06,0.22,0.22,0
15,15-1141,Database Administrators,Millennial,26803,28646,1843,0.07,0.25,0.24,-0.01
21,21-1013,Marriage and Family Therapists,Millennial,10421,12179,1758,0.17,0.29,0.3,0.01
43,43-4121,"Library Assistants, Clerical",Millennial,28149,29857,1708,0.06,0.23,0.23,0
25,25-2011,"Preschool Teachers, Except Special Education",Millennial,158442,160108,1666,0.01,0.36,0.37,0.01
43,43-4199,"Information and Record Clerks, All Other",Millennial,49821,51457,1636,0.03,0.26,0.26,0
53,53-7073,Wellhead Pumpers,Millennial,3442,5074,1632,0.47,0.27,0.33,0.06
49,49-9041,Industrial Machinery Mechanics,Millennial,56747,58338,1591,0.03,0.18,0.18,0
29,29-1131,Veterinarians,Millennial,18479,20067,1588,0.09,0.28,0.29,0.01
25,25-4031,Library Technicians,Millennial,27024,28568,1544,0.06,0.22,0.23,0.01
29,29-1031,Dietitians and Nutritionists,Millennial,15899,17438,1539,0.1,0.26,0.26,0
13,13-1131,Fundraisers,Millennial,19032,20565,1533,0.08,0.27,0.29,0.02
17,17-2031,Biomedical Engineers,Millennial,5971,7503,1532,0.26,0.38,0.35,-0.03
25,25-2012,"Kindergarten Teachers, Except Special Education",Millennial,37377,38880,1503,0.04,0.24,0.25,0.01
11,nov-33,"Education Administrators, Postsecondary",Millennial,25022,26519,1497,0.06,0.22,0.22,0
29,29-2057,Ophthalmic Medical Technicians,Millennial,10351,11810,1459,0.14,0.38,0.39,0.01
29,29-1062,Family and General Practitioners,Millennial,18554,20004,1450,0.08,0.15,0.16,0.01
31,31-9093,Medical Equipment Preparers,Millennial,15305,16699,1394,0.09,0.31,0.32,0.01
19,19-2042,"Geoscientists, Except Hydrologists and Geographers",Millennial,10146,11540,1394,0.14,0.29,0.3,0.01
15,15-1151,Computer User Support Specialists,Millennial,195855,197246,1391,0.01,0.34,0.33,-0.01
35,35-1011,Chefs and Head Cooks,Millennial,33897,35277,1380,0.04,0.31,0.32,0.01
31,31-1015,Orderlies,Millennial,16514,17887,1373,0.08,0.3,0.31,0.01
11,nov-51,Social and Community Service Managers,Millennial,25839,27198,1359,0.05,0.2,0.2,0
19,19-4021,Biological Technicians,Millennial,23694,25019,1325,0.06,0.34,0.33,-0.01
19,19-2041,"Environmental Scientists and Specialists, Including Health",Millennial,25275,26593,1318,0.05,0.3,0.3,0
45,45-2091,Agricultural Equipment Operators,Millennial,19614,20896,1282,0.07,0.31,0.32,0.01
33,33-3021,Detectives and Criminal Investigators,Millennial,24691,25944,1253,0.05,0.23,0.23,0
29,29-2035,Magnetic Resonance Imaging Technologists,Millennial,8024,9270,1246,0.16,0.3,0.3,0
33,33-9099,"Protective Service Workers, All Other",Millennial,18143,19377,1234,0.07,0.21,0.22,0.01
29,29-9099,"Healthcare Practitioners and Technical Workers, All Other",Millennial,14689,15900,1211,0.08,0.31,0.32,0.01
49,49-2098,Security and Fire Alarm Systems Installers,Millennial,19314,20509,1195,0.06,0.32,0.34,0.02
51,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Millennial,7544,8724,1180,0.16,0.2,0.21,0.01
35,35-2019,"Cooks, All Other",Millennial,6512,7691,1179,0.18,0.25,0.27,0.02
21,21-1099,"Community and Social Service Specialists, All Other",Millennial,27736,28901,1165,0.04,0.27,0.28,0.01
51,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Millennial,7295,8457,1162,0.16,0.18,0.19,0.01
21,21-1094,Community Health Workers,Millennial,11212,12351,1139,0.1,0.3,0.31,0.01
29,29-1041,Optometrists,Millennial,9692,10821,1129,0.12,0.27,0.29,0.02
31,31-9095,Pharmacy Aides,Millennial,16608,17728,1120,0.07,0.37,0.4,0.03
11,nov-51,Food Service Managers,Millennial,85614,86721,1107,0.01,0.29,0.31,0.02
49,49-3091,Bicycle Repairers,Millennial,4461,5505,1044,0.23,0.43,0.51,0.08
29,29-1199,"Health Diagnosing and Treating Practitioners, All Other",Millennial,7390,8403,1013,0.14,0.19,0.2,0.01
47,47-5099,"Extraction Workers, All Other",Millennial,3112,4106,994,0.32,0.4,0.44,0.04
21,21-1021,"Child, Family, and School Social Workers",Millennial,78397,79385,988,0.01,0.27,0.27,0
19,19-3099,"Social Scientists and Related Workers, All Other",Millennial,9374,10343,969,0.1,0.31,0.3,-0.01
27,27-3012,Public Address System and Other Announcers,Millennial,5896,6861,965,0.16,0.39,0.39,0
29,29-9091,Athletic Trainers,Millennial,6681,7637,956,0.14,0.35,0.36,0.01
29,29-1181,Audiologists,Millennial,4356,5298,942,0.22,0.41,0.41,0
35,35-9099,"Food Preparation and Serving Related Workers, All Other",Millennial,10253,11193,940,0.09,0.24,0.27,0.03
25,25-9099,"Education, Training, and Library Workers, All Other",Millennial,22555,23491,936,0.04,0.22,0.23,0.01
29,29-2051,Dietetic Technicians,Millennial,8269,9193,924,0.11,0.35,0.37,0.02
29,29-1151,Nurse Anesthetists,Millennial,5750,6666,916,0.16,0.19,0.18,-0.01
27,27-2011,Actors,Millennial,35727,36605,878,0.02,0.4,0.42,0.02
45,45-2041,"Graders and Sorters, Agricultural Products",Millennial,14204,15071,867,0.06,0.24,0.25,0.01
27,27-2021,Athletes and Sports Competitors,Millennial,6794,7655,861,0.13,0.39,0.42,0.03
29,29-2053,Psychiatric Technicians,Millennial,20795,21653,858,0.04,0.3,0.31,0.01
25,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,Millennial,17594,18435,841,0.05,0.24,0.24,0
19,19-3031,"Clinical, Counseling, and School Psychologists",Millennial,23873,24708,835,0.03,0.16,0.16,0
47,47-5041,Continuous Mining Machine Operators,Millennial,3181,4014,833,0.26,0.26,0.28,0.02
15,15-1121,Computer Systems Analysts,Millennial,149455,150277,822,0.01,0.3,0.28,-0.02
51,51-3092,Food Batchmakers,Millennial,29122,29936,814,0.03,0.29,0.3,0.01
37,37-2021,Pest Control Workers,Millennial,18896,19706,810,0.04,0.28,0.28,0
51,51-9083,Ophthalmic Laboratory Technicians,Millennial,8276,9069,793,0.1,0.27,0.29,0.02
27,27-2032,Choreographers,Millennial,5543,6336,793,0.14,0.71,0.72,0.01
33,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",Millennial,13553,14330,777,0.06,0.22,0.23,0.01
19,19-4041,Geological and Petroleum Technicians,Millennial,3769,4543,774,0.21,0.26,0.27,0.01
29,29-1129,"Therapists, All Other",Millennial,6869,7631,762,0.11,0.26,0.27,0.01
53,53-7081,Refuse and Recyclable Material Collectors,Millennial,32357,33109,752,0.02,0.25,0.25,0
19,19-1021,Biochemists and Biophysicists,Millennial,9555,10299,744,0.08,0.38,0.36,-0.02
39,39-2011,Animal Trainers,Millennial,8572,9294,722,0.08,0.26,0.27,0.01
49,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Millennial,3964,4685,721,0.18,0.17,0.19,0.02
39,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",Millennial,4220,4940,720,0.17,0.21,0.24,0.03
29,29-1063,"Internists, General",Millennial,7620,8330,710,0.09,0.16,0.16,0
53,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Millennial,4354,5061,707,0.16,0.27,0.27,0
53,53-7072,"Pump Operators, Except Wellhead Pumpers",Millennial,3425,4125,700,0.2,0.28,0.3,0.02
29,29-1067,Surgeons,Millennial,6876,7569,693,0.1,0.15,0.15,0
17,17-3029,"Engineering Technicians, Except Drafters, All Other",Millennial,14325,15008,683,0.05,0.22,0.22,0
19,19-4091,"Environmental Science and Protection Technicians, Including Health",Millennial,9692,10369,677,0.07,0.32,0.31,-0.01
39,39-7011,Tour Guides and Escorts,Millennial,7614,8288,674,0.09,0.2,0.21,0.01
13,13-2071,Credit Counselors,Millennial,10269,10939,670,0.07,0.38,0.38,0
25,25-2053,"Special Education Teachers, Middle School",Millennial,19527,20184,657,0.03,0.22,0.22,0.01
51,51-8013,Power Plant Operators,Millennial,5126,5777,651,0.13,0.13,0.14,0.01
27,27-2023,"Umpires, Referees, and Other Sports Officials",Millennial,5446,6092,646,0.12,0.27,0.28,0.01
49,49-3043,Rail Car Repairers,Millennial,4095,4741,646,0.16,0.21,0.22,0.01
11,nov-39,"Education Administrators, All Other",Millennial,6728,7369,641,0.1,0.21,0.22,0.01
19,19-4099,"Life, Physical, and Social Science Technicians, All Other",Millennial,18236,18873,637,0.03,0.32,0.32,0
29,29-1124,Radiation Therapists,Millennial,5403,6040,637,0.12,0.31,0.33,0.02
33,33-9021,Private Detectives and Investigators,Millennial,7377,8004,627,0.08,0.22,0.24,0.02
17,17-2161,Nuclear Engineers,Millennial,4123,4748,625,0.15,0.2,0.21,0.01
15,15-2041,Statisticians,Millennial,8087,8708,621,0.08,0.32,0.32,0
31,31-2012,Occupational Therapy Aides,Millennial,2917,3535,618,0.21,0.39,0.41,0.02
29,29-1125,Recreational Therapists,Millennial,5504,6112,608,0.11,0.29,0.31,0.02
47,47-5061,"Roof Bolters, Mining",Millennial,2105,2712,607,0.29,0.35,0.4,0.05
19,19-3022,Survey Researchers,Millennial,7817,8406,589,0.08,0.44,0.44,0
29,29-1065,"Pediatricians, General",Millennial,4815,5400,585,0.12,0.15,0.15,0
31,31-1013,Psychiatric Aides,Millennial,22447,23018,571,0.03,0.28,0.29,0.01
49,49-3041,Farm Equipment Mechanics and Service Technicians,Millennial,8735,9300,565,0.06,0.23,0.24,0.01
31,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,Millennial,32454,33009,555,0.02,0.4,0.41,0.01
29,29-2033,Nuclear Medicine Technologists,Millennial,5767,6320,553,0.1,0.29,0.3,0.01
45,45-3011,Fishers and Related Fishing Workers,Millennial,4960,5511,551,0.11,0.16,0.17,0.01
13,13-2081,"Tax Examiners and Collectors, and Revenue Agents",Millennial,14458,14993,535,0.04,0.22,0.22,0
25,25-2051,"Special Education Teachers, Preschool",Millennial,5642,6176,534,0.09,0.27,0.28,0.01
51,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Millennial,9329,9852,523,0.06,0.22,0.23,0.01
21,21-1029,"Social Workers, All Other",Millennial,15462,15980,518,0.03,0.25,0.25,0
13,13-2031,Budget Analysts,Millennial,13750,14257,507,0.04,0.24,0.24,0
53,53-2021,Air Traffic Controllers,Millennial,5294,5800,506,0.1,0.24,0.23,-0.01
29,29-1061,Anesthesiologists,Millennial,4590,5073,483,0.11,0.14,0.15,0.01
19,19-1013,Soil and Plant Scientists,Millennial,3805,4286,481,0.13,0.27,0.28,0.01
49,49-9062,Medical Equipment Repairers,Millennial,8328,8807,479,0.06,0.24,0.23,-0.01
21,21-1019,"Counselors, All Other",Millennial,8163,8642,479,0.06,0.27,0.27,0
53,53-4031,Railroad Conductors and Yardmasters,Millennial,10503,10978,475,0.05,0.24,0.24,0
19,19-1029,"Biological Scientists, All Other",Millennial,8928,9402,474,0.05,0.3,0.29,-0.01
45,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Millennial,24856,25329,473,0.02,0.32,0.32,0
19,19-4093,Forest and Conservation Technicians,Millennial,7493,7966,473,0.06,0.24,0.24,0
25,25-2059,"Special Education Teachers, All Other",Millennial,9649,10108,459,0.05,0.24,0.25,0.01
19,19-2099,"Physical Scientists, All Other",Millennial,7127,7579,452,0.06,0.26,0.25,-0.01
29,29-1128,Exercise Physiologists,Millennial,2616,3060,444,0.17,0.3,0.29,-0.01
51,51-8092,Gas Plant Operators,Millennial,1507,1943,436,0.29,0.13,0.15,0.02
25,25-4012,Curators,Millennial,2323,2744,421,0.18,0.25,0.26,0.01
15,15-1111,Computer and Information Research Scientists,Millennial,7470,7885,415,0.06,0.3,0.29,-0.01
15,15-1199,"Computer Occupations, All Other",Millennial,55357,55753,396,0.01,0.28,0.28,0
43,43-5031,"Police, Fire, and Ambulance Dispatchers",Millennial,22256,22634,378,0.02,0.23,0.23,0
29,29-2092,Hearing Aid Specialists,Millennial,1798,2174,376,0.21,0.36,0.39,0.03
39,39-6011,Baggage Porters and Bellhops,Millennial,10842,11207,365,0.03,0.26,0.26,0
49,49-9094,Locksmiths and Safe Repairers,Millennial,4731,5096,365,0.08,0.21,0.23,0.02
43,43-5041,"Meter Readers, Utilities",Millennial,9869,10233,364,0.04,0.25,0.25,0
19,19-3039,"Psychologists, All Other",Millennial,2258,2614,356,0.16,0.12,0.13,0.01
39,39-3099,"Entertainment Attendants and Related Workers, All Other",Millennial,2493,2836,343,0.14,0.19,0.2,0.01
11,nov-31,Public Relations and Fundraising Managers,Millennial,12700,13035,335,0.03,0.23,0.23,0
19,19-4061,Social Science Research Assistants,Millennial,9776,10102,326,0.03,0.36,0.36,0
13,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",Millennial,7711,8031,320,0.04,0.37,0.37,0
47,47-5042,Mine Cutting and Channeling Machine Operators,Millennial,1621,1932,311,0.19,0.25,0.28,0.03
39,39-3092,Costume Attendants,Millennial,1268,1576,308,0.24,0.22,0.25,0.03
39,39-5091,"Makeup Artists, Theatrical and Performance",Millennial,1280,1586,306,0.24,0.3,0.31,0.01
53,53-4011,Locomotive Engineers,Millennial,6074,6372,298,0.05,0.16,0.16,0
39,39-6012,Concierges,Millennial,6283,6577,294,0.05,0.24,0.24,0
19,19-3094,Political Scientists,Millennial,2246,2534,288,0.13,0.36,0.36,0
37,37-3013,Tree Trimmers and Pruners,Millennial,19516,19803,287,0.01,0.3,0.3,0
21,21-1092,Probation Officers and Correctional Treatment Specialists,Millennial,19080,19367,287,0.02,0.22,0.21,-0.01
51,51-3093,Food Cooking Machine Operators and Tenders,Millennial,8685,8972,287,0.03,0.26,0.27,0.01
29,29-1066,Psychiatrists,Millennial,4801,5087,286,0.06,0.19,0.19,0
29,29-2091,Orthotists and Prosthetists,Millennial,2267,2551,284,0.13,0.28,0.3,0.02
51,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Millennial,4414,4694,280,0.06,0.21,0.23,0.02
37,37-3019,"Grounds Maintenance Workers, All Other",Millennial,5093,5371,278,0.05,0.25,0.25,0
53,53-7071,Gas Compressor and Gas Pumping Station Operators,Millennial,726,997,271,0.37,0.17,0.22,0.05
19,19-1023,Zoologists and Wildlife Biologists,Millennial,5140,5409,269,0.05,0.27,0.27,0
17,17-2081,Environmental Engineers,Millennial,15134,15398,264,0.02,0.3,0.29,-0.01
25,25-4011,Archivists,Millennial,1186,1447,261,0.22,0.23,0.25,0.02
19,19-3011,Economists,Millennial,4426,4685,259,0.06,0.27,0.28,0.01
45,45-2099,"Agricultural Workers, All Other",Millennial,5452,5710,258,0.05,0.35,0.35,0
19,19-1031,Conservation Scientists,Millennial,4375,4619,244,0.06,0.21,0.22,0.01
31,31-9094,Medical Transcriptionists,Millennial,22452,22692,240,0.01,0.28,0.27,-0.01
51,51-8012,Power Distributors and Dispatchers,Millennial,1379,1609,230,0.17,0.12,0.14,0.02
47,47-4041,Hazardous Materials Removal Workers,Millennial,12722,12948,226,0.02,0.34,0.34,0
27,27-2041,Music Directors and Composers,Millennial,13210,13435,225,0.02,0.19,0.19,0
29,29-9012,Occupational Health and Safety Technicians,Millennial,2599,2818,219,0.08,0.22,0.23,0.01
47,47-5049,"Mining Machine Operators, All Other",Millennial,768,985,217,0.28,0.3,0.34,0.04
27,27-4032,Film and Video Editors,Millennial,8862,9070,208,0.02,0.32,0.32,0
15,15-2021,Mathematicians,Millennial,1169,1375,206,0.18,0.34,0.34,0
27,27-4099,"Media and Communication Equipment Workers, All Other",Millennial,4881,5086,205,0.04,0.3,0.3,0
49,49-9081,Wind Turbine Service Technicians,Millennial,1021,1225,204,0.2,0.19,0.23,0.04
19,19-2012,Physicists,Millennial,3487,3683,196,0.06,0.2,0.2,0
19,19-3091,Anthropologists and Archeologists,Millennial,2201,2397,196,0.09,0.36,0.35,-0.01
51,51-8011,Nuclear Power Reactor Operators,Millennial,577,772,195,0.34,0.09,0.11,0.02
15,15-2011,Actuaries,Millennial,7944,8135,191,0.02,0.37,0.36,-0.01
29,29-1161,Nurse Midwives,Millennial,893,1084,191,0.21,0.17,0.18,0.01
47,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",Millennial,2191,2379,188,0.09,0.34,0.35,0.01
29,29-9092,Genetic Counselors,Millennial,873,1061,188,0.22,0.46,0.45,-0.01
21,21-2011,Clergy,Millennial,27674,27861,187,0.01,0.12,0.11,-0.01
27,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",Millennial,12703,12890,187,0.01,0.33,0.34,0.01
19,19-2021,Atmospheric and Space Scientists,Millennial,2961,3148,187,0.06,0.3,0.29,-0.01
25,25-4013,Museum Technicians and Conservators,Millennial,2477,2661,184,0.07,0.24,0.26,0.02
49,49-9063,Musical Instrument Repairers and Tuners,Millennial,1581,1765,184,0.12,0.12,0.16,0.04
37,37-2019,"Building Cleaning Workers, All Other",Millennial,3380,3545,165,0.05,0.22,0.23,0.01
19,19-4092,Forensic Science Technicians,Millennial,2475,2638,163,0.07,0.2,0.21,0.01
53,53-6051,Transportation Inspectors,Millennial,4820,4978,158,0.03,0.2,0.19,-0.01
11,nov-81,Lodging Managers,Millennial,9897,10054,157,0.02,0.2,0.25,0.05
17,17-3025,Environmental Engineering Technicians,Millennial,4332,4487,155,0.04,0.24,0.23,-0.01
53,53-7111,Mine Shuttle Car Operators,Millennial,836,991,155,0.19,0.29,0.32,0.03
27,27-2031,Dancers,Millennial,11274,11422,148,0.01,0.67,0.68,0.01
21,21-2099,"Religious Workers, All Other",Millennial,8183,8323,140,0.02,0.14,0.14,0
19,19-2043,Hydrologists,Millennial,2071,2211,140,0.07,0.3,0.29,-0.01
13,13-2061,Financial Examiners,Millennial,6786,6920,134,0.02,0.25,0.23,-0.02
53,53-4021,"Railroad Brake, Signal, and Switch Operators",Millennial,6090,6218,128,0.02,0.23,0.23,0
19,19-4051,Nuclear Technicians,Millennial,1272,1399,127,0.1,0.16,0.16,0
19,19-1011,Animal Scientists,Millennial,751,870,119,0.16,0.3,0.32,0.02
11,nov-21,Natural Sciences Managers,Millennial,9026,9143,117,0.01,0.19,0.18,-0.01
19,19-4011,Agricultural and Food Science Technicians,Millennial,5489,5604,115,0.02,0.27,0.27,0
53,53-7033,"Loading Machine Operators, Underground Mining",Millennial,611,724,113,0.18,0.22,0.25,0.03
25,25-9021,Farm and Home Management Advisors,Millennial,2547,2659,112,0.04,0.22,0.22,0
49,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",Millennial,8623,8734,111,0.01,0.21,0.21,0
39,39-3021,Motion Picture Projectionists,Millennial,4223,4332,109,0.03,0.48,0.54,0.06
19,19-3041,Sociologists,Millennial,957,1064,107,0.11,0.38,0.39,0.01
39,39-3011,Gaming Dealers,Millennial,25785,25889,104,0,0.25,0.25,0
47,47-4061,Rail-Track Laying and Maintenance Equipment Operators,Millennial,3672,3774,102,0.03,0.21,0.21,0
19,19-1041,Epidemiologists,Millennial,1111,1212,101,0.09,0.22,0.23,0.01
19,19-3093,Historians,Millennial,874,973,99,0.11,0.21,0.23,0.02
39,39-3012,Gaming and Sports Book Writers and Runners,Millennial,3287,3384,97,0.03,0.21,0.22,0.01
21,21-2021,"Directors, Religious Activities and Education",Millennial,19939,20033,94,0,0.15,0.15,0
29,29-9011,Occupational Health and Safety Specialists,Millennial,14514,14607,93,0.01,0.24,0.24,0
25,25-4021,Librarians,Millennial,28616,28705,89,0,0.21,0.2,-0.01
45,45-2011,Agricultural Inspectors,Millennial,2484,2573,89,0.04,0.17,0.17,0
